artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sia,"LABRINTH, SIA & DIPLO PRESENT... LSD","Audio (feat. Sia, Diplo, and Labrinth)",100eDEmpWV5YGVCqHI0leU,0.568,0.701,3,-4.566,0,0.0426,1.06e-06,0.0769,0.353,89.969,204093,4
Rita Ora,Phoenix (Deluxe Edition),Only Want You,2CTN6UuO2dNEVZXR0DJVk2,0.654,0.528,6,-6.224,0,0.0412,7.14e-05,0.0975,0.376,82.014,180760,4
Lana Del Rey,Let Me Love You Like A Woman,Let Me Love You Like A Woman,4HvE2E9rXJDcQhE4YfeNuG,0.403,0.245,0,-11.862,1,0.0569,4.74e-05,0.119,0.148,128.333,200661,4
Martin Garrix,Drown (feat. Clinton Kane),Drown (feat. Clinton Kane),4RVtBlHFKj51Ipvpfv5ER4,0.573,0.739,9,-5.455,1,0.0581,0.0,0.175,0.363,120.077,174062,4
AURORA,All My Demons Greeting Me As A Friend (Deluxe),Running With The Wolves,4bXnJTJtfZ32yWoNDPjXn0,0.531,0.568,5,-5.53,1,0.0571,7.7e-05,0.26,0.438,164.127,194760,4
Cailee Rae,Back to You,Back to You,5fPc3elwQa2At3SPd2XGzT,0.547,0.746,7,-2.924,1,0.0357,0.000216,0.142,0.381,153.987,185455,4
Staysman & Lazz,Trenger en mann,Trenger en mann,3ILRzR8SwJajRjrcySym2F,0.501,0.901,11,-5.262,1,0.23,1.44e-05,0.0751,0.45,145.134,181425,4
TIX,Dommedagen 2020,Dommedagen 2020,3bx3MDkbF2ta2VtLxFxh3w,0.667,0.876,1,-7.264,1,0.317,0.0,0.328,0.386,137.911,170435,4
Mike Perry,Bloodshot,Bloodshot,0RjsxObqclok5pyah4SPoh,0.692,0.842,11,-4.689,1,0.0643,0.0,0.154,0.649,113.009,195344,4
Lost Frequencies,Melody (feat. James Blunt),Melody (feat. James Blunt),5r49JKf2vWBF0CQjZewJ0O,0.618,0.659,0,-8.477,1,0.0504,0.0,0.454,0.334,120.089,149009,4
David Guetta,Nothing but the Beat (Ultimate Edition),Titanium (feat. Sia),0TDLuuLlV54CkRRUOahJb4,0.604,0.787,0,-3.674,0,0.103,0.15,0.127,0.301,126.062,245040,4
Sia,Angel By The Wings,Angel By The Wings,4OLVK3kktkdLPp8dDgoCtb,0.522,0.53,4,-4.812,1,0.033,5.19e-05,0.0997,0.157,104.039,319200,4
Dash Berlin,Skies,Skies,320nFPk23PxsRoEFeOMNgy,0.501,0.842,9,-3.579,0,0.0343,0.0,0.553,0.256,127.953,180000,4
Amanda Tenfjord,Kill The Lonely,Kill The Lonely,0D43DS6MEHq16oqQpbb3Cz,0.669,0.423,5,-5.455,1,0.0422,0.000135,0.0976,0.111,131.92,188823,4
K-391,Play,Play,4jp4Z02kzzg8gK0NmDGgml,0.52,0.798,6,-5.498,0,0.0391,0.0,0.0932,0.168,101.944,167977,4
Tove Lo,BLUE LIPS (lady wood phase II),disco tits,1TIiWomS4i0Ikaf9EKdcLn,0.79,0.728,7,-6.523,1,0.0612,0.00106,0.172,0.333,110.059,223795,4
Marthe Wang,Til deg (Single Version),Til deg - Single Version,7bD91vOzk9L2gKMSkdSQy7,0.453,0.14,2,-12.979,1,0.0514,0.0,0.168,0.358,95.556,223760,4
The Weeknd,Blinding Lights (Remix),Blinding Lights (with ROSALÍA) - Remix,7MXgrcOQAJ5VwSNUL0lDd3,0.49,0.694,5,-5.793,0,0.0618,4.62e-05,0.0946,0.249,170.903,216123,4
Diplo,Get It Right (feat. MØ),Get It Right (feat. MØ),68m6iwhKElLTBaGRG1LLwE,0.456,0.833,0,-4.242,1,0.0964,1.71e-05,0.0592,0.261,159.808,172500,4
Sia,This Is Acting,Unstoppable,059ACLUOyEcdruA2m9f2jd,0.468,0.779,9,-4.839,1,0.0779,0.000373,0.101,0.26,173.799,217747,4
Tungevaag,Knockout,Knockout,1YFwmEAnSUx9ZAgWT39i1L,0.643,0.609,4,-4.304,0,0.0397,0.0,0.176,0.462,94.996,147789,4
AURORA,The Secret Garden,The Secret Garden,6B1YoRDRkXRmfNdvTVaSox,0.318,0.277,0,-10.4,1,0.0358,0.0245,0.112,0.0972,119.891,243199,4
Tones And I,Dance Monkey,Dance Monkey,421leiR6jKlH5KDdwLYrOs,0.824,0.592,6,-6.4,0,0.0969,0.000158,0.178,0.54,98.074,209755,4
Winona Oak,CLOSURE,Let Me Know,0HT2pC2Wcl2GGyDTcCWpLU,0.512,0.629,4,-6.122,1,0.0262,0.0,0.109,0.308,145.043,176044,3
MATTN,The Logical Song,The Logical Song,1pUTByFRmxwuFIl18NpUB8,0.612,0.982,6,-2.984,0,0.0496,0.433,0.274,0.175,128.122,162187,4
Marshmello,Be Kind (with Halsey) [Stripped],Be Kind (with Halsey) [Stripped],2CAb0iGKrcIpzPvGOjJere,0.573,0.375,4,-10.482,1,0.031,0.0,0.091,0.527,93.688,173683,4
Ellie Goulding,Slow Grenade,Slow Grenade,5z8uLrYMcUVvzTV28twt44,0.758,0.562,9,-6.302,1,0.0771,0.0,0.0996,0.581,142.035,217493,4
Smith & Thell,Hotel Walls (Acoustic Version),Hotel Walls - Acoustic Version,5pW8171RuTAYU9hAN54QpM,0.586,0.479,11,-8.853,1,0.0328,0.0,0.0605,0.2,137.892,207525,4
Sia,1000 Forms Of Fear,Fire Meet Gasoline,3Rw6shHCDFRWv3g2WmEFKv,0.418,0.764,5,-3.307,0,0.0559,0.0,0.149,0.33,175.669,241493,3
Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),Feels Great (feat. Fetty Wap & CVBZ),5MMu9zi4UrctTCXQqNJUCY,0.522,0.833,0,-3.715,1,0.0575,0.0,0.127,0.296,180.009,193569,4
AURORA,A Different Kind Of Human – Step 2,Apple Tree,1UKFyg5ShtIxJOH0jY5gPz,0.551,0.586,2,-8.463,1,0.293,1.1e-05,0.216,0.446,188.045,188102,4
Lil Halima,love songs for bad lovers,Would U,3yOrXMoAKK6nN83DQFctPy,0.753,0.336,9,-7.942,1,0.126,0.000149,0.119,0.37,83.94,186739,4
Sigrid,Sucker Punch,Sight Of You,7BCThwwyTExZv513fcJdki,0.69,0.852,4,-5.989,1,0.0408,3.62e-05,0.121,0.48,129.916,237786,4
No. 4,Duell,Under deg,45AOccTETg6Hy8Ruyh8avF,0.424,0.416,7,-7.829,1,0.0296,2.53e-06,0.0969,0.213,153.862,244267,3
Sigma,Here We Go Again,Here We Go Again,1jfW9Ro29uuPlAUfnOqTVw,0.535,0.842,4,-3.094,1,0.0846,0.0,0.148,0.598,152.807,162585,4
David Guetta,Flames,Flames,33IOhptvC2Qoy2UhjiHXLV,0.609,0.726,5,-4.346,0,0.0414,8.45e-06,0.0895,0.362,93.958,195000,4
Andy Grammer,The Good Parts,Smoke Clears,1likxiGuFOCkY2WtGbHj3F,0.595,0.81,7,-3.665,1,0.0465,0.0,0.111,0.482,99.947,177925,4
Sia,This Is Acting (Deluxe Version),Move Your Body,73Mfgc0HTZeNCoNrDI46sJ,0.617,0.842,10,-4.062,0,0.034,0.261,0.131,0.36,127.955,247213,4
The Weeknd,After Hours (Deluxe),Save Your Tears,2ExKb6Ag2WXob6FpkSeXhE,0.684,0.817,0,-5.499,1,0.0308,2.19e-05,0.439,0.623,118.061,215627,4
Lost Frequencies,Alive And Feeling Fine,Crazy,35HH7bhTkAZMKIWvBYqkFh,0.765,0.762,11,-5.071,0,0.123,9.22e-05,0.104,0.449,114.987,153391,4
Julia Michaels,Nervous System,Worst In Me,1FY8gDAydm8CfGYp7Lv9ce,0.648,0.616,6,-7.82,1,0.0606,0.0,0.161,0.275,105.985,202347,4
Den BB,Happy Hour,Happy Hour,7Js8Li45SX5kmYl6HgZBqi,0.795,0.848,6,-4.911,1,0.0991,0.000139,0.0864,0.671,126.017,190476,4
AURORA,A Different Kind Of Human – Step 2,Dance On The Moon,6Q3V53lccKlnlMpBUCD5X1,0.537,0.625,1,-8.322,1,0.0442,0.392,0.0789,0.13,109.998,216300,4
Sia,Together,Together,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0806,0.0929,0.199,180.007,205208,4
Little Quirks,Crumbled,Crumbled,5daoW1nT2JllZjmSKg0lnn,0.559,0.549,1,-8.258,0,0.037,0.0,0.0906,0.32,120.087,193348,4
Zedd,Happy Now (Remixes),Happy Now - BEAUZ Remix,6gd1yNyevcirDWXelk2mfN,0.374,0.882,1,-2.785,0,0.221,0.0,0.264,0.494,161.942,228148,4
Emelie Hollow,Break It Right,Break It Right,2ggaQJV9jcN2dJt8BMV4SD,0.459,0.318,0,-8.622,1,0.0465,0.0,0.117,0.218,123.218,235559,4
Flo Rida,Wild Ones,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,0.608,0.86,5,-5.324,0,0.0554,0.0,0.262,0.437,127.075,232947,4
Sia,This Is Acting,Bird Set Free,44p0C72gL2FbjWbzkUFfTf,0.438,0.805,5,-4.284,0,0.0728,0.000667,0.133,0.31,150.174,252440,4
Astrid S,Down Low,Favorite Part Of Me,0cppqb4vQycORHNMxr8DGd,0.598,0.502,1,-6.273,1,0.0447,0.0,0.096,0.403,121.621,198391,5
Hozier,"Wasteland, Baby!",To Noise Making (Sing),6dRjQxGUFZRY3ydat2JSu7,0.619,0.556,0,-7.687,1,0.0806,0.0,0.594,0.566,99.39,206920,4
George Ezra,Staying at Tamara's,The Beautiful Dream,3rGGGUvG6YXzNaqD1yzdzW,0.501,0.494,4,-8.468,1,0.0295,0.0118,0.0829,0.163,126.139,269938,4
Mumford & Sons,Babel (Deluxe Version),I Will Wait,3nf8GgGCuSJryvwaeBRf6y,0.486,0.769,1,-5.14,1,0.0341,0.00832,0.197,0.393,131.286,276720,4
The Lumineers,The Lumineers (Deluxe Edition),Ho Hey,1K3LRUEcUz5FMtPYyg0F45,0.682,0.471,0,-9.182,1,0.0301,0.0,0.0908,0.421,79.907,163133,4
The Head and the Heart,The Head and the Heart,Rivers and Roads,4fN0dQGDaV4Hg7Gd7mBOE0,0.5,0.197,0,-8.93,1,0.0354,3.22e-05,0.0755,0.177,131.243,284000,3
Bastille,Doom Days,Joy,6Tt1P5CLUrl59oSOTVxON0,0.555,0.923,6,-4.748,0,0.161,0.0,0.0778,0.363,118.007,192681,4
Vance Joy,Nation of Two,We're Going Home,5J7zqPpQkN9JZiaELHNKSL,0.386,0.675,4,-5.481,0,0.0424,3.68e-06,0.14,0.429,189.894,206360,4
Hozier,"Wasteland, Baby!",Shrike,3ieUtb4ecQgEYxae8dzEUi,0.506,0.275,7,-8.464,0,0.0292,0.00377,0.101,0.0639,153.769,298880,3
Sufjan Stevens,Carrie & Lowell,The Only Thing,6Rt6KwuF7I8ZkdZG2G0bYr,0.519,0.145,3,-19.581,1,0.0392,0.0643,0.108,0.487,158.975,284131,4
Mumford & Sons,Babel,Whispers In The Dark,6ZfUejMLj1c9jJRPiWjjBj,0.393,0.764,2,-6.848,1,0.0402,0.00568,0.124,0.35,134.633,195867,4
Of Monsters and Men,Visitor,Visitor,0z3Sa7vtRfn4ywaHzZzBLK,0.57,0.866,7,-4.587,0,0.0344,0.000709,0.116,0.477,81.995,207227,4
George Ezra,Wanted on Voyage (Expanded Edition),Listen to the Man,5B0ibk0qk9ees6wvlzMsZe,0.599,0.551,9,-5.937,1,0.0317,0.0,0.0875,0.538,121.122,183680,4
Various Artists,Pete's Dragon (Original Motion Picture Soundtrack),Nobody Knows,7A0FGrZsLgOUmeNtMTnt4z,0.634,0.382,9,-12.877,1,0.0363,0.0021,0.101,0.2,81.971,188573,4
Mumford & Sons,Babel (Deluxe Version),Ghosts That We Knew,4YTDsa4TJ9DuwYhD3ry2Uc,0.364,0.29,0,-11.923,1,0.0407,0.00692,0.111,0.0754,159.994,339720,4
The Head and the Heart,Living Mirage,People Need A Melody,5tlu2nA8GxkDx8UTKG1rLV,0.586,0.54,0,-5.761,1,0.0255,0.0,0.127,0.162,82.156,252302,4
Morgan Harper-Jones,Lie to Me,Lie to Me,76MCLNEw1AbrDjlprsoFkP,0.583,0.107,0,-17.621,1,0.117,2.15e-06,0.243,0.221,130.592,205604,3
The Lumineers,Cleopatra,Ophelia,5NORWMFC27ywGSZxi8uquP,0.664,0.573,5,-6.519,1,0.0277,0.000363,0.0857,0.566,76.023,160097,4
Hozier,"Wasteland, Baby!",Would That I,0L3oQdYUvVbsOOPJSkZ3C3,0.521,0.526,5,-6.032,1,0.0281,0.00537,0.108,0.502,130.694,268293,4
George Ezra,Wanted on Voyage (Expanded Edition),Did You Hear the Rain?,1dKMQ58n6Rskvgb9ccFGdz,0.458,0.606,2,-6.749,1,0.0349,0.0,0.0856,0.0391,101.968,260987,4
Laura Marling,Alas I Cannot Swim,Ghosts,3LHg768dEKqJKht2uPTlVR,0.463,0.368,9,-11.546,1,0.048,0.0,0.149,0.75,141.974,179960,4
George Ezra,Wanted on Voyage (Expanded Edition),Song 6,31ypEgZwfK9bpBY3kRvIgf,0.403,0.435,7,-8.549,1,0.034,4.02e-05,0.234,0.073,172.081,256200,4
Of Monsters and Men,My Head Is An Animal,King And Lionheart,310d8Vawp5kYDYrGrrTAzl,0.52,0.655,3,-6.519,1,0.0394,0.00384,0.124,0.29,126.593,273853,4
Mumford & Sons,Wilder Mind (Deluxe),Tompkins Square Park,3ujy90VRVmcRFbsGcQEuc2,0.467,0.799,2,-6.527,0,0.051,0.0251,0.156,0.437,161.549,311627,4
Maggie Rogers,Love You For A Long Time,Love You For A Long Time,6QTPacyXkZWG9FMwq6L1hJ,0.707,0.67,9,-6.137,1,0.0323,0.00283,0.109,0.822,112.993,223120,4
Hozier,"Wasteland, Baby!",Dinner & Diatribes,5yZtHXjySe6jDjOM6Yi3Mw,0.499,0.769,1,-5.576,1,0.0522,0.0274,0.117,0.333,110.835,224147,3
Colouring,I Can't Make You Love Me,I Can't Make You Love Me,7tGQnE7ZroxkStpXSmcH0q,0.358,0.157,5,-15.79,1,0.0376,0.000803,0.0935,0.25,120.637,277377,4
The Lumineers,Live Tracks,Charlie Boy - Live,06cNxjHJtZWWU3JaL3cd4p,0.484,0.494,7,-8.102,1,0.0357,3.29e-05,0.971,0.42,130.276,350316,4
George Ezra,Wanted on Voyage (Expanded Edition),Leaving It Up to You,2PAQygVRwdmwzY955cn2FS,0.61,0.495,7,-9.07,1,0.0374,0.0,0.0905,0.373,90.034,216453,4
Vance Joy,I'm with You,I'm with You - Single Edit,43RRT2lNaEGaVfGVySLDFb,0.584,0.677,7,-4.336,1,0.0297,0.0,0.105,0.113,119.006,221138,3
Hozier,"Wasteland, Baby!",Talk,29bXfCo3mQVzohwPJXohaU,0.397,0.538,2,-6.503,0,0.0339,0.148,0.113,0.247,154.342,206547,4
The Head and the Heart,Living Mirage,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,0.642,0.52,9,-7.886,1,0.0387,0.000509,0.552,0.488,136.014,196055,4
Picture This,When We Were Young,When We Were Young,71MBnl6YQe91yWUDhjQRpF,0.5,0.806,0,-3.722,1,0.0317,0.0,0.468,0.322,97.948,212080,4
Mumford & Sons,Babel,Not With Haste,2rC0gZUp3Flzus9OtZtnDP,0.394,0.484,4,-9.356,1,0.0299,0.000156,0.118,0.119,133.065,247045,4
Brother Moses,Magnolia,Inertia,2uS9Q4QmCZUjQxDzvtSk10,0.602,0.179,4,-10.373,1,0.0371,9.32e-06,0.114,0.135,82.145,249072,4
The Lumineers,The Lumineers (Deluxe Edition),Stubborn Love,7x46YkKAwp3yZpaa72n5Mu,0.596,0.544,0,-11.759,1,0.0362,0.017,0.262,0.262,115.022,279000,4
Tiz McNamara,April Fool,April Fool,3pphvys29ALVFqSwzRLgA0,0.682,0.199,10,-10.613,1,0.036,5.79e-06,0.11,0.155,121.846,228345,4
John Vincent III,Songs from the Valley,Next to You,3MwHZDGwAR8RjZZBriBqmx,0.443,0.419,7,-7.975,1,0.0321,0.00183,0.404,0.0719,132.204,256520,4
Aisha Badru,Transcendence,Millennial,10JRIlS2NWwUlEePtwaUhX,0.587,0.0984,2,-18.198,1,0.0424,0.000143,0.103,0.221,124.808,173231,4
Mumford & Sons,Sigh No More,Sigh No More,1n4t51kJm4wX8NyOvyVA9V,0.488,0.328,0,-10.088,1,0.0304,0.00014,0.377,0.187,147.769,208573,4
Hozier,"Wasteland, Baby!","Wasteland, Baby!",1IbgYIuVwJsibCcT5GFYHy,0.427,0.407,2,-9.665,1,0.0382,0.386,0.109,0.244,168.844,266467,4
Of Monsters and Men,Beneath The Skin (Deluxe),We Sink,0KtQxdGPKzeAwKBt3LrD24,0.461,0.77,11,-6.017,0,0.0288,0.00413,0.125,0.352,110.928,261880,4
George Ezra,Wanted on Voyage (Expanded Edition),Cassy O',0KlUnDYTACNGFPFIUa3eZd,0.537,0.84,2,-4.799,1,0.0363,0.0,0.33,0.192,97.993,184120,4
James Bay,Chaos And The Calm,Hold Back The River,7tmtOEDxPN7CWaQWBsG1DY,0.715,0.715,5,-7.364,1,0.0904,0.0,0.0936,0.506,134.923,238747,4
Tom Rosenthal,Z-Sides,All of Them Dreams,6owLSHQ9u2jU9CRidHyA9B,0.419,0.0938,2,-17.633,0,0.0459,0.000128,0.799,0.165,77.516,176981,3
Hozier,"Wasteland, Baby!",As It Was,4li9KmEUg6RVrAe1Y4p86W,0.398,0.154,0,-11.395,0,0.0351,0.157,0.113,0.155,173.589,207653,3
George Ezra,Wanted on Voyage (Expanded Edition),Over the Creek,37fai71ztIpymar8TEo0P4,0.57,0.7,5,-6.797,1,0.0387,0.0,0.667,0.367,93.863,236720,4
Mumford & Sons,Babel,Broken Crown,5RI4Ecj8kvkH5W7q7mw4HU,0.412,0.629,2,-8.696,0,0.0397,0.000898,0.137,0.255,128.096,256400,4
Adam Melchor,The Archer,The Archer,3z4d1WUntiCzvbeYlatcF7,0.263,0.277,2,-11.902,1,0.0353,0.0212,0.106,0.322,168.877,260291,4
